PosRank,Name,Position,half_ppr,full_ppr
1,Josh Allen,QB,46,46
2,Lamar Jackson,QB,45,45
3,Jalen Hurts,QB,38,38
4,Jayden Daniels,QB,37,37
5,Justin Herbert,QB,24,24
6,Baker Mayfield,QB,16,16
7,Patrick Mahomes II,QB,16,16
8,Drake Maye,QB,14,14
9,Dak Prescott,QB,13,13
10,Brock Purdy,QB,13,13
11,Justin Fields,QB,12,12
12,Caleb Williams,QB,11,11
13,Daniel Jones,QB,10,10
14,Jordan Love,QB,9,9
15,Jared Goff,QB,9,9
16,Kyler Murray,QB,9,9
17,Bo Nix,QB,9,9
18,Trevor Lawrence,QB,8,8
19,Michael Penix Jr.,QB,7,7
20,Matthew Stafford,QB,6,6
21,C.J. Stroud,QB,6,6
22,Geno Smith,QB,5,5
23,J.J. McCarthy,QB,5,5
24,Bryce Young,QB,4,4
25,Jake Browning,QB,3,3
26,Tua Tagovailoa,QB,2,2
27,Cam Ward,QB,1,1
28,Aaron Rodgers,QB,1,1
29,Sam Darnold,QB,1,1
30,Jaxson Dart,QB,1,1
31,Russell Wilson,QB,0,0
32,Spencer Rattler,QB,0,0
33,Joe Flacco,QB,0,0
34,Mac Jones,QB,0,0
35,Dillon Gabriel,QB,0,0
36,Marcus Mariota,QB,0,0
37,Tyrod Taylor,QB,0,0
38,Tyler Shough,QB,0,0
39,Jimmy Garoppolo,QB,0,0
40,Shedeur Sanders,QB,0,0
1,Bijan Robinson,RB,74,76
2,Christian McCaffrey,RB,72,74
3,Saquon Barkley,RB,70,71
4,Jahmyr Gibbs,RB,69,71
5,Jonathan Taylor,RB,68,69
6,Derrick Henry,RB,65,66
7,Bucky Irving,RB,59,60
8,Josh Jacobs,RB,56,58
9,De'Von Achane,RB,55,57
10,James Cook,RB,53,55
11,Ashton Jeanty,RB,52,54
12,Chase Brown,RB,48,50
13,Kyren Williams,RB,45,47
14,Breece Hall,RB,44,46
15,Alvin Kamara,RB,38,40
16,Chuba Hubbard,RB,36,38
17,Travis Etienne Jr.,RB,35,37
18,Kenneth Walker III,RB,34,36
19,Tony Pollard,RB,30,32
20,Jordan Mason,RB,30,32
21,James Conner,RB,27,29
22,J.K. Dobbins,RB,27,29
23,Omarion Hampton,RB,27,28
24,Javonte Williams,RB,25,27
25,D'Andre Swift,RB,25,27
26,Jaylen Warren,RB,25,27
27,David Montgomery,RB,24,26
28,Jacory Croskey-Merritt,RB,24,26
29,TreVeyon Henderson,RB,24,26
30,Quinshon Judkins,RB,24,25
31,Cam Skattebo,RB,23,25
32,RJ Harvey,RB,23,24
33,Rhamondre Stevenson,RB,22,24
34,Nick Chubb,RB,22,23
35,Zach Charbonnet,RB,22,23
36,Bhayshul Tuten,RB,22,23
37,Trey Benson,RB,22,23
38,Isiah Pacheco,RB,19,21
39,Aaron Jones Sr.,RB,17,18
40,Tyrone Tracy Jr.,RB,15,17
41,Tyler Allgeier,RB,15,16
42,Dylan Sampson,RB,14,16
43,Brian Robinson Jr.,RB,14,16
44,Braelon Allen,RB,14,15
45,Najee Harris,RB,14,15
46,Rachaad White,RB,14,15
47,Blake Corum,RB,14,15
48,Ray Davis,RB,14,15
49,Tank Bigsby,RB,13,14
50,Tyjae Spears,RB,12,14
51,Kaleb Johnson,RB,12,13
52,DJ Giddens,RB,12,13
53,Jerome Ford,RB,12,13
54,Rico Dowdle,RB,12,13
55,Ollie Gordon II,RB,12,13
56,Kendre Miller,RB,12,13
57,Kyle Monangai,RB,11,12
58,Woody Marks,RB,11,12
59,Jaydon Blue,RB,10,11
60,Kareem Hunt,RB,9,10
61,Kenneth Gainwell,RB,9,10
62,Miles Sanders,RB,8,9
63,Jeremy McNichols,RB,8,9
64,Chris Rodriguez Jr.,RB,8,9
65,Will Shipley,RB,8,9
66,Chris Brooks,RB,8,9
67,Zamir White,RB,7,8
68,Keaton Mitchell,RB,7,8
69,Tahj Brooks,RB,7,8
70,Sean Tucker,RB,7,8
71,Jarquez Hunter,RB,6,7
72,Brashard Smith,RB,6,7
73,Dameon Pierce,RB,5,6
74,Justice Hill,RB,4,5
75,MarShawn Lloyd,RB,4,5
76,Isaac Guerendo,RB,4,5
77,Roschon Johnson,RB,4,5
78,A.J. Dillon,RB,4,5
79,Devin Neal,RB,3,4
80,LeQuint Allen Jr.,RB,3,4
81,Isaiah Davis,RB,2,3
82,Jaylen Wright,RB,2,3
83,Trevor Etienne,RB,1,2
84,Tyler Badie,RB,1,2
85,George Holani,RB,1,1
86,Devin Singletary,RB,1,1
87,Emanuel Wilson,RB,1,1
88,Antonio Gibson,RB,1,1
89,Ty Johnson,RB,1,1
90,Cam Akers,RB,1,1
1,CeeDee Lamb,WR,72,74
2,Puka Nacua,WR,69,71
3,Ja'Marr Chase,WR,68,70
4,Malik Nabers,WR,66,68
5,Justin Jefferson,WR,65,67
6,Nico Collins,WR,62,64
7,Amon-Ra St. Brown,WR,60,62
8,Drake London,WR,58,60
9,Jaxon Smith-Njigba,WR,53,55
10,Zay Flowers,WR,47,49
11,Garrett Wilson,WR,44,46
12,Brian Thomas Jr.,WR,44,46
13,A.J. Brown,WR,44,46
14,Ladd McConkey,WR,43,45
15,Tetairoa McMillan,WR,39,41
16,Davante Adams,WR,37,39
17,Mike Evans,WR,35,37
18,Rome Odunze,WR,33,35
19,Marvin Harrison Jr.,WR,30,32
20,Emeka Egbuka,WR,30,32
21,Rashee Rice,WR,30,32
22,Tyreek Hill,WR,30,32
23,DK Metcalf,WR,29,31
24,Terry McLaurin,WR,28,30
25,Deebo Samuel Sr.,WR,28,30
26,Tee Higgins,WR,27,29
27,Courtland Sutton,WR,26,28
28,George Pickens,WR,26,28
29,DeVonta Smith,WR,26,28
30,Ricky Pearsall,WR,26,28
31,Jameson Williams,WR,26,28
32,Jauan Jennings,WR,26,28
33,Jakobi Meyers,WR,25,27
34,Keenan Allen,WR,25,27
35,Calvin Ridley,WR,24,26
36,DJ Moore,WR,24,26
37,Chris Olave,WR,24,26
38,Michael Pittman Jr.,WR,23,25
39,Jaylen Waddle,WR,23,24
40,Xavier Worthy,WR,22,24
41,Jerry Jeudy,WR,22,24
42,Stefon Diggs,WR,22,24
43,Travis Hunter,WR,21,23
44,Keon Coleman,WR,21,23
45,Jordan Addison,WR,20,22
46,Quentin Johnston,WR,20,22
47,Cedric Tillman,WR,19,21
48,Darnell Mooney,WR,18,20
49,Rashid Shaheed,WR,17,19
50,Khalil Shakir,WR,17,19
51,Troy Franklin,WR,17,19
52,Wan'Dale Robinson,WR,17,19
53,Romeo Doubs,WR,16,18
54,Matthew Golden,WR,16,17
55,Josh Downs,WR,16,17
56,Cooper Kupp,WR,14,16
57,Elic Ayomanor,WR,13,15
58,Christian Kirk,WR,13,15
59,Kayshon Boutte,WR,13,15
60,Marquise Brown,WR,12,14
61,Brandon Aiyuk,WR,12,14
62,Chris Godwin Jr.,WR,12,14
63,Joshua Palmer,WR,11,13
64,Jalen Coker,WR,11,13
65,Jayden Reed,WR,11,12
66,Calvin Austin III,WR,10,11
67,Marvin Mims Jr.,WR,10,11
68,Rashod Bateman,WR,10,11
69,Dontayvion Wicks,WR,10,11
70,Luther Burden III,WR,10,11
71,Jayden Higgins,WR,10,11
72,Isaac TeSlaa,WR,10,11
73,DeAndre Hopkins,WR,10,11
74,Tory Horton,WR,10,11
75,Dont'e Thornton Jr.,WR,9,10
76,Dyami Brown,WR,9,10
77,DeMario Douglas,WR,8,9
78,Alec Pierce,WR,7,8
79,KaVontae Turpin,WR,7,8
80,Malik Washington,WR,7,8
81,Hunter Renfrow,WR,7,8
82,Tre' Harris,WR,7,8
83,Tyquan Thornton,WR,6,7
84,Adam Thielen,WR,6,7
85,Tre Tucker,WR,6,7
86,Pat Bryant,WR,6,7
87,Kyle Williams,WR,6,7
88,Darius Slayton,WR,5,6
89,Michael Wilson,WR,5,6
90,Jalen Nailor,WR,4,5
1,Trey McBride,TE,50,52
2,Brock Bowers,TE,49,51
3,Tucker Kraft,TE,28,30
4,Tyler Warren,TE,27,29
5,George Kittle,TE,26,28
6,Sam LaPorta,TE,25,27
7,Travis Kelce,TE,20,22
8,Zach Ertz,TE,17,19
9,Juwan Johnson,TE,17,19
10,Harold Fannin Jr.,TE,16,18
11,Jake Ferguson,TE,15,17
12,T.J. Hockenson,TE,13,15
13,Mark Andrews,TE,13,15
14,Dalton Kincaid,TE,13,15
15,Kyle Pitts Sr.,TE,13,15
16,David Njoku,TE,13,15
17,Dallas Goedert,TE,12,14
18,Brenton Strange,TE,11,13
19,Isaiah Likely,TE,10,12
20,Hunter Henry,TE,9,11
21,Jonnu Smith,TE,8,10
22,Chig Okonkwo,TE,8,9
23,Evan Engram,TE,7,8
24,Colston Loveland,TE,7,8
25,Ja'Tavion Sanders,TE,7,8
26,Pat Freiermuth,TE,6,7
27,Mason Taylor,TE,5,6
28,Dalton Schultz,TE,5,6
29,Cade Otton,TE,4,5
30,Theo Johnson,TE,3,4
31,Noah Fant,TE,3,4
32,Mike Gesicki,TE,3,4
33,Tyler Higbee,TE,2,3
34,Jake Tonges,TE,1,2
35,Darren Waller,TE,1,1
36,Cole Kmet,TE,1,1
37,Michael Mayer,TE,1,1
38,AJ Barner,TE,1,1
39,Elijah Arroyo,TE,1,1
40,Tyler Conklin,TE,1,1
