Name,Pos,half_ppr,full_ppr
Lamar Jackson,QB,50,48
Josh Allen,QB,46,45
Jayden Daniels,QB,41,40
Jalen Hurts,QB,32,32
Caleb Williams,QB,27,27
Patrick Mahomes,QB,24,25
Justin Herbert,QB,21,22
Baker Mayfield,QB,19,20
Drake Maye,QB,19,20
Dak Prescott,QB,15,17
Jordan Love,QB,9,12
Jared Goff,QB,3,7
Jaxson Dart,QB,2,6
Bo Nix,QB,2,5
Brock Purdy,QB,1,4
Justin Fields,QB,0,4
Daniel Jones,QB,0,3
Sam Darnold,QB,0,3
Kyler Murray,QB,0,2
Matthew Stafford,QB,-2,1
Trevor Lawrence,QB,-2,1
Aaron Rodgers,QB,-3,0
C.J. Stroud,QB,-5,-1
Michael Penix Jr.,QB,-6,-2
J.J. McCarthy,QB,-10,-5
Tua Tagovailoa,QB,-11,-7
Bryce Young,QB,-13,-8
Joe Flacco,QB,-14,-9
Geno Smith,QB,-15,-10
Dillon Gabriel,QB,-30,-23
Cameron Ward,QB,-34,-27
Spencer Rattler,QB,-48,-39
Tyler Shough,QB,-48,-39
Joe Burrow,QB,-116,-100
Jalen Milroe,QB,-135,-117
Mac Jones,QB,-136,-117
Jacoby Brissett,QB,-136,-118
Carson Wentz,QB,-137,-119
Shedeur Sanders,QB,-148,-128
Bijan Robinson,RB,100,100
Jonathan Taylor,RB,90,84
Christian McCaffrey,RB,81,83
De'Von Achane,RB,69,79
Jahmyr Gibbs,RB,80,79
James Cook,RB,74,70
Josh Jacobs,RB,71,67
Ashton Jeanty,RB,50,51
Saquon Barkley,RB,54,51
Breece Hall,RB,46,47
Derrick Henry,RB,56,47
Kyren Williams,RB,52,47
Javonte Williams,RB,46,46
Bucky Irving,RB,43,44
Cameron Skattebo,RB,36,39
Quinshon Judkins,RB,43,37
Travis Etienne,RB,31,31
Jaylen Warren,RB,27,29
J.K. Dobbins,RB,29,28
Chase Brown,RB,24,27
David Montgomery,RB,27,27
Jacory Croskey-Merritt,RB,29,27
Jordan Mason,RB,28,26
Kenneth Walker III,RB,24,26
D'Andre Swift,RB,24,25
Alvin Kamara,RB,22,24
Kimani Vidal,RB,22,24
Zach Charbonnet,RB,24,24
Trey Benson,RB,22,23
Tony Pollard,RB,21,22
Chuba Hubbard,RB,19,21
Rico Dowdle,RB,23,21
Jo'Quavious Marks,RB,20,20
Omarion Hampton,RB,19,19
Nick Chubb,RB,18,18
Aaron Jones,RB,14,17
RJ Harvey,RB,13,14
Rhamondre Stevenson,RB,14,14
TreVeyon Henderson,RB,11,14
Bhayshul Tuten,RB,15,13
Isiah Pacheco,RB,12,12
Kenneth Gainwell,RB,7,9
Rachaad White,RB,6,9
Tyjae Spears,RB,4,7
Isaiah Davis,RB,3,4
Kareem Hunt,RB,4,4
Kendre Miller,RB,5,3
Hassan Haskins,RB,3,2
Tyler Allgeier,RB,3,2
Blake Corum,RB,2,1
Brashard Smith,RB,-4,0
Jaydon Blue,RB,-4,0
Ollie Gordon II,RB,0,0
Kyle Monangai,RB,-3,-1
Brian Robinson Jr.,RB,-3,-3
Joe Mixon,RB,-5,-3
Tyrone Tracy Jr.,RB,-6,-3
Justice Hill,RB,-8,-4
Zonovan Knight,RB,-4,-5
Sean Tucker,RB,-7,-6
Kaleb Johnson,RB,-10,-8
Dylan Sampson,RB,-12,-9
Jeremy McNichols,RB,-12,-9
Jerome Ford,RB,-13,-9
Michael Carter,RB,-11,-9
Samaje Perine,RB,-11,-9
Ty Johnson,RB,-11,-9
Braelon Allen,RB,-13,-11
Devin Singletary,RB,-13,-11
MarShawn Lloyd,RB,-12,-11
Jaylen Wright,RB,-13,-13
Ray Davis,RB,-14,-13
Chris Rodriguez,RB,-14,-14
DJ Giddens,RB,-16,-14
Will Shipley,RB,-16,-14
Emanuel Wilson,RB,-17,-15
Devin Neal,RB,-17,-16
Zavier Scott,RB,-19,-17
Dare Ogunbowale,RB,-21,-18
LeQuint Allen,RB,-21,-18
Roschon Johnson,RB,-21,-18
Raheem Mostert,RB,-21,-19
A.J. Dillon,RB,-21,-20
Christopher Brooks,RB,-22,-20
Tyler Badie,RB,-23,-20
Elijah Mitchell,RB,-23,-21
Jordan James,RB,-22,-21
Keaton Mitchell,RB,-23,-21
Emari Demercado,RB,-26,-23
Jarquez Hunter,RB,-25,-23
Tahj Brooks,RB,-25,-24
Kalel Mullings,RB,-26,-25
Raheim Sanders,RB,-28,-26
Zamir White,RB,-28,-26
Dylan Laube,RB,-29,-27
Julius Chestnut,RB,-28,-27
Tyler Goodson,RB,-28,-27
Trevor Etienne,RB,-31,-28
Jaleel McLaughlin,RB,-31,-30
Eric Gray,RB,-34,-32
Ty Chandler,RB,-35,-32
Damien Martinez,RB,-36,-33
Cam Akers,RB,-35,-34
Dameon Pierce,RB,-36,-34
Ameer Abdullah,RB,-36,-35
Donovan Edwards,RB,-36,-35
Justin Jefferson,WR,92,95
Puka Nacua,WR,84,89
Ja'Marr Chase,WR,79,83
Jaxon Smith-Njigba,WR,75,80
CeeDee Lamb,WR,74,78
Nico Collins,WR,72,75
Amon-Ra St. Brown,WR,66,72
Drake London,WR,61,64
Rashee Rice,WR,52,57
Rome Odunze,WR,54,54
Davante Adams,WR,42,42
Brian Thomas Jr.,WR,41,41
Jaylen Waddle,WR,39,40
Tetairoa McMillan,WR,39,40
Xavier Worthy,WR,37,39
A.J. Brown,WR,38,38
Emeka Egbuka,WR,37,38
Garrett Wilson,WR,34,38
George Pickens,WR,38,37
Ladd McConkey,WR,36,37
Chris Olave,WR,33,36
Quentin Johnston,WR,37,36
Zay Flowers,WR,35,36
Courtland Sutton,WR,35,35
Keenan Allen,WR,31,34
Tee Higgins,WR,32,34
D.K. Metcalf,WR,35,33
Marvin Harrison Jr.,WR,34,33
Mike Evans,WR,35,33
DeVonta Smith,WR,31,32
Deebo Samuel,WR,30,30
Jordan Addison,WR,30,30
D.J. Moore,WR,29,29
Jameson Williams,WR,30,27
Michael Pittman Jr.,WR,24,26
Stefon Diggs,WR,25,25
Terry McLaurin,WR,25,25
Ricky Pearsall,WR,25,24
Romeo Doubs,WR,25,24
Chris Godwin,WR,21,23
Wan'Dale Robinson,WR,17,21
Matthew Golden,WR,22,20
Khalil Shakir,WR,18,19
Jauan Jennings,WR,18,17
Keon Coleman,WR,20,17
Luther Burden III,WR,18,17
Travis Hunter,WR,18,17
Jakobi Meyers,WR,16,16
Josh Downs,WR,15,15
Calvin Ridley,WR,15,14
Jerry Jeudy,WR,15,14
Darnell Mooney,WR,15,13
Tre Tucker,WR,15,13
Marquise Brown,WR,9,9
Rashid Shaheed,WR,9,9
Cooper Kupp,WR,7,8
Elic Ayomanor,WR,9,8
Jalen Coker,WR,10,8
Jayden Higgins,WR,9,7
Tory Horton,WR,10,7
Troy Franklin,WR,9,7
Joshua Palmer,WR,8,6
Darius Slayton,WR,7,5
Marvin Mims Jr.,WR,6,4
Kayshon Boutte,WR,4,1
Rashod Bateman,WR,4,1
Cedric Tillman,WR,1,0
Kendrick Bourne,WR,1,0
Russell Gage,WR,0,0
Alec Pierce,WR,2,-1
Christian Kirk,WR,0,-1
Isaiah Bond,WR,0,-1
Malik Washington,WR,0,-1
Brandon Aiyuk,WR,0,-3
Demario Douglas,WR,-3,-3
Jayden Reed,WR,0,-3
Jaylin Noel,WR,-2,-3
Michael Wilson,WR,0,-3
Parker Washington,WR,-1,-3
Calvin Austin III,WR,-2,-4
Xavier Legette,WR,-1,-4
Christian Watson,WR,-3,-7
Isaac TeSlaa,WR,-3,-7
Dontayvion Wicks,WR,-5,-9
Dyami Brown,WR,-6,-9
Luke McCaffrey,WR,-7,-9
KaVontae Turpin,WR,-6,-10
Jordan Whittington,WR,-8,-12
Tre Harris,WR,-8,-12
DeAndre Hopkins,WR,-11,-14
Dont'e Thornton Jr.,WR,-9,-14
Noah Brown,WR,-11,-14
Ryan Flournoy,WR,-11,-14
Tutu Atwell,WR,-11,-14
Jalen McMillan,WR,-11,-15
Jalen Nailor,WR,-11,-15
Tyquan Thornton,WR,-11,-15
Pat Bryant,WR,-13,-16
Adam Thielen,WR,-14,-17
Andrei Iosivas,WR,-13,-17
Josh Reynolds,WR,-14,-18
Sterling Shepard,WR,-15,-18
Jalin Hyatt,WR,-15,-19
Van Jefferson,WR,-15,-19
Devaughn Vele,WR,-18,-20
Jack Bech,WR,-16,-20
Mack Hollins,WR,-16,-20
Nick Westbrook-Ikhine,WR,-15,-20
Xavier Hutchinson,WR,-18,-21
Olamide Zaccheaus,WR,-17,-22
Tyler Lockett,WR,-20,-22
Jaylin Lane,WR,-18,-23
Brandin Cooks,WR,-21,-24
Elijah Moore,WR,-22,-25
Jamari Thrash,WR,-22,-25
Chimere Dike,WR,-21,-26
Ray-Ray McCloud,WR,-23,-26
Kyle Williams,WR,-23,-27
Chris Moore,WR,-24,-28
Kameron Johnson,WR,-23,-28
Adonai Mitchell,WR,-24,-29
Devontez Walker,WR,-24,-29
Jalen Royals,WR,-24,-29
Tez Johnson,WR,-25,-29
Tyler Johnson,WR,-25,-29
Jimmy Horn Jr.,WR,-27,-30
Roman Wilson,WR,-25,-30
Zay Jones,WR,-26,-30
Arian Smith,WR,-26,-31
Kalif Raymond,WR,-28,-33
Gabriel Davis,WR,-29,-34
Jalen Tolbert,WR,-29,-34
Greg Dortch,WR,-31,-35
JuJu Smith-Schuster,WR,-31,-36
Curtis Samuel,WR,-32,-37
KeAndre Lambert-Smith,WR,-32,-37
Jermaine Burton,WR,-32,-38
Savion Williams,WR,-32,-38
Allen Lazard,WR,-33,-39
Jahan Dotson,WR,-34,-39
Hunter Renfrow,WR,-36,-41
Jake Bobo,WR,-36,-41
John Metchie,WR,-37,-41
Malik Heath,WR,-35,-41
Mason Tipton,WR,-36,-41
Demarcus Robinson,WR,-36,-42
Justin Watson,WR,-37,-43
Casey Washington,WR,-40,-45
Ricky White,WR,-40,-45
Bo Melton,WR,-40,-46
Cedrick Wilson,WR,-40,-47
Jordan Watkins,WR,-41,-47
Marquez Valdes-Scantling,WR,-41,-47
Ashton Dulin,WR,-43,-48
Jonathan Mingo,WR,-43,-48
Kaden Prather,WR,-44,-49
Derius Davis,WR,-44,-50
KhaDarel Hodge,WR,-44,-51
Michael Woods II,WR,-45,-51
Ryan Miller,WR,-45,-51
Dominic Lovett,WR,-46,-52
Konata Mumpfield,WR,-46,-53
Tim Patrick,WR,-47,-53
Jalen Brooks,WR,-47,-54
Kobe Hudson,WR,-48,-54
Tyler Scott,WR,-48,-54
Antwane Wells Jr.,WR,-48,-55
DJ Turner,WR,-49,-55
Lil'Jordan Humphrey,WR,-52,-59
Skyy Moore,WR,-53,-59
Anthony Gould,WR,-55,-61
Scott Miller,WR,-55,-62
Ben Skowronek,WR,-56,-63
Xavier Smith,WR,-56,-63
Trey McBride,TE,47,51
Tyler Warren,TE,48,49
Brock Bowers,TE,35,35
Tucker Kraft,TE,36,35
George Kittle,TE,36,34
Jake Ferguson,TE,24,26
Dalton Kincaid,TE,22,23
Kyle Pitts,TE,22,23
Sam LaPorta,TE,25,23
Dallas Goedert,TE,22,22
Hunter Henry,TE,21,20
Travis Kelce,TE,17,18
T.J. Hockenson,TE,17,17
Harold Fannin Jr.,TE,16,15
Zach Ertz,TE,15,15
Darren Waller,TE,14,13
David Njoku,TE,13,13
Dalton Schultz,TE,12,12
Mark Andrews,TE,15,12
Mason Taylor,TE,13,12
Colston Loveland,TE,13,11
Isaiah Likely,TE,14,10
Evan Engram,TE,9,9
Theo Johnson,TE,6,5
Oronde Gadsden II,TE,7,4
Brenton Strange,TE,4,3
Cade Otton,TE,5,3
Juwan Johnson,TE,5,3
Chigoziem Okonkwo,TE,5,2
Cole Kmet,TE,-3,-6
Michael Mayer,TE,-2,-6
AJ Barner,TE,-6,-8
Noah Fant,TE,-5,-8
Jonnu Smith,TE,-6,-9
Pat Freiermuth,TE,-5,-9
Tommy Tremble,TE,-7,-11
Elijah Arroyo,TE,-9,-13
Ja'Tavion Sanders,TE,-10,-14
Mike Gesicki,TE,-11,-15
Taysom Hill,TE,-7,-16
Tyler Higbee,TE,-12,-16
Darnell Washington,TE,-14,-18
Noah Gray,TE,-17,-22
Terrance Ferguson,TE,-17,-22
Austin Hooper,TE,-18,-23
Davis Allen,TE,-18,-23
Josh Oliver,TE,-19,-24
Tyler Conklin,TE,-19,-24
Foster Moreau,TE,-20,-25
Dawson Knox,TE,-20,-26
Elijah Higgins,TE,-21,-26
Jake Tonges,TE,-21,-26
Luke Musgrave,TE,-21,-26
Ben Sinnott,TE,-22,-27
Gunnar Helm,TE,-23,-29
Harrison Bryant,TE,-27,-33
Luke Schoonmaker,TE,-27,-33
Will Dissly,TE,-28,-33
Mitchell Evans,TE,-30,-35
Drew Sample,TE,-30,-36
Julian Hill,TE,-31,-36
Daniel Bellinger,TE,-32,-37
Adam Trautman,TE,-32,-38
Grant Calcaterra,TE,-32,-38
Jeremy Ruckert,TE,-32,-38
Johnny Mundt,TE,-33,-38
Nate Adkins,TE,-32,-38
Brock Wright,TE,-32,-39
Cade Stover,TE,-33,-39
Kylen Granson,TE,-33,-39
Jake Briningstool,TE,-34,-40
Charlie Kolar,TE,-34,-41
Jackson Hawes,TE,-34,-41
Mo Alie-Cox,TE,-35,-41
Tanner Conner,TE,-35,-41
Andrew Ogletree,TE,-35,-42
Charlie Woerner,TE,-35,-42
Tanner McLachlan,TE,-35,-42
Colby Parkinson,TE,-37,-43
Devin Culp,TE,-36,-43
Jared Wiley,TE,-36,-43
John Bates,TE,-36,-43
Will Mallory,TE,-36,-43
Brevyn Spann-Ford,TE,-37,-44
Payne Durham,TE,-37,-44
Thomas Fidone II,TE,-38,-44
Durham Smythe,TE,-40,-46
Gavin Bartholomew,TE,-40,-46
Moliki Matavao,TE,-38,-46
Connor Heyward,TE,-40,-47
Hunter Long,TE,-40,-47
Robbie Ouzts,TE,-40,-48
Josh Whyle,TE,-44,-52
Ian Thomas,TE,-45,-53
Joshua Simon,TE,-45,-53
Luke Lachey,TE,-45,-53
Lucas Krull,TE,-45,-54
