Name,Pos,half_ppr,full_ppr
Lamar Jackson,QB,66,66
Josh Allen,QB,62,62
Jalen Hurts,QB,58,58
Jayden Daniels,QB,57,57
Justin Herbert,QB,26,26
Baker Mayfield,QB,15,15
Caleb Williams,QB,14,14
Patrick Mahomes,QB,13,13
Jordan Love,QB,12,12
Daniel Jones,QB,11,11
Dak Prescott,QB,11,11
Drake Maye,QB,10,10
Kyler Murray,QB,10,10
Justin Fields,QB,9,9
Jared Goff,QB,8,8
Bo Nix,QB,7,7
Trevor Lawrence,QB,7,7
Brock Purdy,QB,7,7
Saquon Barkley,RB,100,93
Bijan Robinson,RB,94,94
Christian McCaffrey,RB,90,94
Jonathan Taylor,RB,90,86
Jahmyr Gibbs,RB,88,88
Derrick Henry,RB,85,72
De'Von Achane,RB,65,74
James Cook,RB,64,61
Kyren Williams,RB,62,56
Josh Jacobs,RB,62,59
Omarion Hampton,RB,60,57
Bucky Irving,RB,57,59
Ashton Jeanty,RB,52,52
Breece Hall,RB,50,52
Chase Brown,RB,50,52
Chuba Hubbard,RB,49,48
Trey Benson,RB,42,40
Alvin Kamara,RB,39,47
Quinshon Judkins,RB,38,33
Kenneth Walker III,RB,38,42
Jordan Mason,RB,33,30
David Montgomery,RB,30,31
Javonte Williams,RB,30,30
Travis Etienne,RB,29,30
Cameron Skattebo,RB,29,30
Jaylen Warren,RB,28,30
Tony Pollard,RB,27,29
J.K. Dobbins,RB,27,26
D'Andre Swift,RB,26,29
Jacory Croskey-Merritt,RB,25,23
Zach Charbonnet,RB,25,26
Bhayshul Tuten,RB,23,22
TreVeyon Henderson,RB,17,20
Rhamondre Stevenson,RB,16,16
Isiah Pacheco,RB,13,14
Aaron Jones,RB,12,15
Tyrone Tracy Jr.,RB,7,10
Tyjae Spears,RB,7,10
Kareem Hunt,RB,6,6
Nick Chubb,RB,5,5
Jo'Quavious Marks,RB,4,6
Rachaad White,RB,3,6
Rico Dowdle,RB,1,2
RJ Harvey,RB,#N/A,2
Zamir White,RB,#N/A,1
Puka Nacua,WR,94,100
Ja'Marr Chase,WR,89,95
Malik Nabers,WR,89,96
Justin Jefferson,WR,79,82
Amon-Ra St. Brown,WR,70,77
Nico Collins,WR,70,72
A.J. Brown,WR,61,62
Jaxon Smith-Njigba,WR,56,61
CeeDee Lamb,WR,51,52
Drake London,WR,46,49
Davante Adams,WR,46,47
Tetairoa McMillan,WR,45,45
Tyreek Hill,WR,43,44
Rashee Rice,WR,41,45
Zay Flowers,WR,40,41
Rome Odunze,WR,39,39
Deebo Samuel,WR,37,37
Mike Evans,WR,36,35
Marvin Harrison Jr.,WR,36,35
George Pickens,WR,36,35
D.K. Metcalf,WR,36,34
Brian Thomas Jr.,WR,36,36
Ricky Pearsall,WR,35,35
Jameson Williams,WR,34,31
Jaylen Waddle,WR,34,35
Ladd McConkey,WR,34,35
Chris Olave,WR,33,37
DeVonta Smith,WR,33,34
Courtland Sutton,WR,33,31
Xavier Worthy,WR,33,33
Garrett Wilson,WR,33,35
D.J. Moore,WR,32,33
Tee Higgins,WR,32,33
Emeka Egbuka,WR,32,33
Jakobi Meyers,WR,31,33
Keenan Allen,WR,30,32
Jerry Jeudy,WR,29,29
Terry McLaurin,WR,29,28
Michael Pittman Jr.,WR,28,30
Jordan Addison,WR,28,26
Quentin Johnston,WR,27,26
Jauan Jennings,WR,27,27
Keon Coleman,WR,27,25
Chris Godwin,WR,24,25
Travis Hunter,WR,22,21
Calvin Ridley,WR,20,21
Darnell Mooney,WR,20,19
Josh Downs,WR,20,21
Tre Tucker,WR,20,18
Brandon Aiyuk,WR,20,19
Khalil Shakir,WR,18,19
Matthew Golden,WR,17,15
Wan'Dale Robinson,WR,15,20
Cedric Tillman,WR,14,13
Marquise Brown,WR,13,13
Troy Franklin,WR,12,11
Elic Ayomanor,WR,12,11
Cooper Kupp,WR,11,11
Romeo Doubs,WR,9,7
Joshua Palmer,WR,9,7
Christian Kirk,WR,9,7
Jalen Coker,WR,7,5
Stefon Diggs,WR,7,6
Rashod Bateman,WR,7,3
Tre Harris,WR,6,3
Dontayvion Wicks,WR,6,3
KaVontae Turpin,WR,2,#N/A
Rashid Shaheed,WR,1,2
Jayden Higgins,WR,1,#N/A
Brock Bowers,TE,55,58
Trey McBride,TE,50,55
Tucker Kraft,TE,37,36
George Kittle,TE,36,35
Tyler Warren,TE,36,37
Jake Ferguson,TE,30,33
Sam LaPorta,TE,30,29
T.J. Hockenson,TE,25,26
Travis Kelce,TE,22,24
Mark Andrews,TE,22,19
Dalton Kincaid,TE,21,21
Hunter Henry,TE,21,19
Juwan Johnson,TE,19,17
Dallas Goedert,TE,18,16
Zach Ertz,TE,16,15
Isaiah Likely,TE,16,13
Kyle Pitts,TE,16,14
Harold Fannin Jr.,TE,15,14
Brenton Strange,TE,10,8
Jonnu Smith,TE,9,7
Cade Otton,TE,8,6
Colston Loveland,TE,8,5
David Njoku,TE,7,5
Evan Engram,TE,6,5
Pat Freiermuth,TE,5,3
Cole Kmet,TE,5,3
Chigoziem Okonkwo,TE,5,3
Michael Mayer,TE,3,#N/A
Dalton Schultz,TE,3,#N/A
,,,
,,,
