Name,Pos,half_ppr,full_ppr
Lamar Jackson,QB,57,50
Josh Allen,QB,47,42
Jalen Hurts,QB,44,40
Patrick Mahomes,QB,25,24
Drake Maye,QB,18,18
Baker Mayfield,QB,16,16
Justin Herbert,QB,16,16
Matthew Stafford,QB,16,16
Dak Prescott,QB,14,14
Caleb Williams,QB,12,13
Jaxson Dart,QB,10,12
Jordan Love,QB,8,10
Sam Darnold,QB,8,10
Jared Goff,QB,7,9
Daniel Jones,QB,4,7
Aaron Rodgers,QB,3,6
Bo Nix,QB,4,6
Joe Flacco,QB,4,6
Trevor Lawrence,QB,2,5
J.J. McCarthy,QB,1,4
Brock Purdy,QB,0,3
Justin Fields,QB,0,3
C.J. Stroud,QB,-1,2
Geno Smith,QB,-1,2
Marcus Mariota,QB,-1,2
Kyler Murray,QB,-1,1
Michael Penix Jr.,QB,-3,0
Tua Tagovailoa,QB,-5,-1
Bryce Young,QB,-8,-4
Cameron Ward,QB,-13,-8
Tyler Shough,QB,-13,-8
Dillon Gabriel,QB,-15,-9
Joe Burrow,QB,-73,-57
Jacoby Brissett,QB,-92,-73
Davis Mills,QB,-94,-75
Quinn Ewers,QB,-104,-83
Shedeur Sanders,QB,-104,-83
Bijan Robinson,RB,78,73
Jahmyr Gibbs,RB,73,68
Christian McCaffrey,RB,68,67
Jonathan Taylor,RB,74,64
Saquon Barkley,RB,70,63
James Cook,RB,59,52
De'Von Achane,RB,46,51
Derrick Henry,RB,62,50
Josh Jacobs,RB,56,50
Bucky Irving,RB,48,45
Ashton Jeanty,RB,43,41
Rico Dowdle,RB,44,39
Breece Hall,RB,40,38
Kyren Williams,RB,40,36
Quinshon Judkins,RB,42,36
Chase Brown,RB,28,31
Javonte Williams,RB,33,31
Travis Etienne,RB,25,24
D'Andre Swift,RB,22,23
David Montgomery,RB,23,22
Jaylen Warren,RB,22,22
Kenneth Walker III,RB,20,21
Zach Charbonnet,RB,21,21
J.K. Dobbins,RB,22,20
Trey Benson,RB,21,20
Aaron Jones,RB,18,19
Jacory Croskey-Merritt,RB,20,18
Jordan Mason,RB,20,18
Woody Marks,RB,19,18
Alvin Kamara,RB,17,17
Kyle Monangai,RB,17,17
Omarion Hampton,RB,17,16
Rhamondre Stevenson,RB,17,16
Bhayshul Tuten,RB,16,15
TreVeyon Henderson,RB,14,15
Tyrone Tracy Jr.,RB,14,15
Nick Chubb,RB,15,14
Devin Singletary,RB,13,13
Isiah Pacheco,RB,14,13
Tyjae Spears,RB,11,13
Blake Corum,RB,13,12
Chuba Hubbard,RB,11,12
Kimani Vidal,RB,11,12
RJ Harvey,RB,12,12
Tony Pollard,RB,12,12
Kareem Hunt,RB,11,11
Isaiah Davis,RB,10,10
Rachaad White,RB,8,10
Kenneth Gainwell,RB,6,8
Tank Bigsby,RB,6,7
Tyler Allgeier,RB,6,6
Ollie Gordon II,RB,4,5
Brashard Smith,RB,1,4
Dylan Sampson,RB,3,4
Justice Hill,RB,0,3
Samaje Perine,RB,1,3
Devin Neal,RB,1,1
Joe Mixon,RB,0,1
Sean Tucker,RB,0,1
Emari Demercado,RB,-2,0
Jerome Ford,RB,-3,0
Keaton Mitchell,RB,-2,0
Zonovan Knight,RB,0,0
Braelon Allen,RB,-3,-2
Brian Robinson Jr.,RB,-3,-2
Jeremy McNichols,RB,-5,-2
Ray Davis,RB,-3,-2
Ty Johnson,RB,-4,-2
Terrell Jennings,RB,-4,-3
Chris Rodriguez,RB,-5,-4
Kaleb Johnson,RB,-6,-4
Hassan Haskins,RB,-7,-5
Jaret Patterson,RB,-7,-5
LeQuint Allen,RB,-8,-5
Dare Ogunbowale,RB,-9,-6
Emanuel Wilson,RB,-8,-6
Jaydon Blue,RB,-8,-6
Tyler Badie,RB,-10,-6
A.J. Dillon,RB,-9,-7
Jarquez Hunter,RB,-11,-8
Jaylen Wright,RB,-10,-8
Jordan James,RB,-11,-8
